split,video_path,reference,prediction,is_correct,reference_length,prediction_length
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\why are you angry\why are you angry (2).mp4,why are you angry,why are you angry,True,4,4
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\i am hungry\i am hungry   (3).MP4,i am hungry,how are you,False,3,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\comb your hair\comb (5).MP4,comb your hair,how are you,False,3,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\i am in dilemma what to do\dilemma (2).MP4,i am in dilemma what to do,i am feeling feeling it,False,7,5
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\i am feeling cold\cold (4).MP4,i am feeling cold,i am happy,False,4,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not abuse him\do not abuse him.mp4,do not abuse him,i do not not not not not not not do you class,False,4,12
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\what did you tell him\tell him (4).MP4,what did you tell him,i am not hurt it,False,5,5
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\i am (age)\i am (age) (5).MP4,i am (age),i am good,False,3,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\are you free today\free (5).MP4,are you free today,i am free today,False,4,4
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\what is your phone number\what is your phone number (3).MP4,what is your phone number,how are you,False,5,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\it does not make any difference to me\it does not make any difference to me.mp4,it does not make any difference to me,how are you,False,8,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\i am so sorry to hear that\sorry hear.MP4,i am so sorry to hear that,i am angry,False,7,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\it does not make any difference to me\difference (3).MP4,it does not make any difference to me,how are you,False,8,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\which collegeschool are you from\college school.MP4,which collegeschool are you from,why are you bored,False,5,4
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\thank you so much\thank you so much (1).MP4,thank you so much,how are you,False,4,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\we are all with you\MVI_6957.MP4,we are all with you,we are the way,False,5,4
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not worry\worry (2).MP4,do not worry,i am not worry,False,3,4
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\i am (age)\i am (age) (6).mp4,i am (age),i am crying,False,3,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\i really appreciate it\i really appreciate it (4).MP4,i really appreciate it,how are you,False,4,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\my name is xxxxxxxx\my name is xxxxxxxx (5).MP4,my name is xxxxxxxx,i am good,False,4,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\i somehow got to know about it\somehow (2).MP4,i somehow got to know about it,what are you feeling,False,7,4
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\bring water for me\bring water for me (1).MP4,bring water for me,what are you water,False,4,4
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\how dare you\how dare you.mp4,how dare you,i am help you,False,3,4
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\how are things\how are things (2).mp4,how are things,i am happy,False,3,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\i like you i love you\i love you (2).mp4,i like you i love you,i am feeling feeling it,False,6,5
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\i am tired\tired (4).MP4,i am tired,how are you,False,3,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\try to understand\understand (2).MP4,try to understand,i am bored,False,3,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\what did you tell him\tell him (2).MP4,what did you tell him,what did you angry,False,5,4
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\my name is xxxxxxxx\my name is xxxxxxxx (4).MP4,my name is xxxxxxxx,i am good,False,4,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\he is on the way\way (3).MP4,he is on the way,how are you,False,5,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\i am very happy\i am very happy.mp4,i am very happy,i am happy,False,4,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\what are you doing\what are you doing (6).MP4,what are you doing,what are you good,False,4,4
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\who are you\who are you (1).MP4,who are you,how are you,False,3,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\i am crying\i am crying.mp4,i am crying,i am angry,False,3,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\i am very happy\very happy (2).MP4,i am very happy,congratulations,False,4,1
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\i need water\i need water 7.MP4,i need water,how are you,False,3,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\can i help you\help (2).MP4,can i help you,i am help you,False,4,4
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\go and sleep\sleep.MP4,go and sleep,what are you sleep,False,3,4
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\try to understand\understand (3).MP4,try to understand,try it,False,3,2
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\that is so kind of you\that is so kind of you (2).mp4,that is so kind of you,how are you,False,6,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\why are you crying\crying (2).MP4,why are you crying,why are you crying,True,4,4
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\let him take time\time (3).MP4,let him take time,how are you,False,4,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\you are bad\bad 1.MP4,you are bad,what are you bad,False,3,4
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\i can not help you there\i can not help you there.mp4,i can not help you there,how are you,False,6,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\what are you doing\what are you doing (4).MP4,what are you doing,how are you,False,4,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\i am tired\tired (5).MP4,i am tired,i am tired,True,3,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\that is so kind of you\MVI_6722.MP4,that is so kind of you,what are you hungry,False,6,4
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\that is so kind of you\that is so kind of you.mp4,that is so kind of you,i am crying,False,6,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\what you want\what you want (5).MP4,what you want,how are you,False,3,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\He is going into the room\room (4).MP4,He is going into the room,how are you,False,6,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\speak softly\speak softly.mp4,speak softly,speak softly,True,2,2
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\speak softly\softly.MP4,speak softly,how are you,False,2,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\wear the shirt\wear the shirt (2).mp4,wear the shirt,i am hungry,False,3,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\he she is my friend\friend.MP4,he she is my friend,how are you,False,5,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\This place is beautiful\MVI_6502.MP4,This place is beautiful,i am feeling feeling it,False,4,5
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not take it to the heart\heart (2).MP4,do not take it to the heart,what are you crying,False,7,4
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\comb your hair\comb.MP4,comb your hair,turn hair hair,False,3,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\i really appreciate it\i really appreciate it (1).mp4,i really appreciate it,what are you feeling,False,4,4
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\what do you want to become\become.MP4,what do you want to become,what are you angry,False,6,4
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\thank you so much\thank you so much (3).MP4,thank you so much,i am really really welcome,False,4,5
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\i need water\i need water 3.MP4,i need water,i am hungry,False,3,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\wear the shirt\shirt (5).MP4,wear the shirt,wear the shirt,True,3,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\how can i help you\how can i help you (1).mp4,how can i help you,how are you,False,5,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\my name is xxxxxxxx\my name is xxxxxxxx (1).MP4,my name is xxxxxxxx,how are you,False,4,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\he came by train\train.MP4,he came by train,how are you,False,4,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\do you need something\do you need something.mp4,do you need something,what are you want something,False,4,5
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\where are you from\where are you from (4).MP4,where are you from,how are you,False,4,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not worry\worry (3).MP4,do not worry,i am angry,False,3,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\can you repeat that please\can you repeat that please (6).MP4,can you repeat that please,how are you,False,5,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not make me angry\me angry (3).MP4,do not make me angry,how do you,False,5,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\i do not like it\hate (2).MP4,i do not like it,how are you,False,5,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\i dont agree\MVI_6494.MP4,i dont agree,why are you agree,False,3,4
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\how can i trust you\trust.MP4,how can i trust you,what are you trust you,False,5,5
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\we are all with you\MVI_6506.MP4,we are all with you,we are all with you,True,5,5
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\how are things\things (2).MP4,how are things,how are you,False,3,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not abuse him\abuse (2).MP4,do not abuse him,how are you,False,4,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\why are you disappointed\disappointed (2).MP4,why are you disappointed,why are you crying,False,4,4
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\what did you tell him\MVI_6497.MP4,what did you tell him,why are you angry,False,5,4
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\comb your hair\comb your hair (2).mp4,comb your hair,comb you hair,False,3,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\how are things\things (3).MP4,how are things,how are you,False,3,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\who are you\who are you (4).MP4,who are you,what are you want,False,3,4
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\i am feeling cold\i am feeling cold.mp4,i am feeling cold,i am angry,False,4,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\how are things\things.MP4,how are things,how are you,False,3,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\i do not like it\hate it.MP4,i do not like it,how are you,False,5,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\how can i trust you\trust (4).MP4,how can i trust you,how are you,False,5,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\i am feeling cold\i am feeling cold (2).mp4,i am feeling cold,i am cold,False,4,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\bring water for me\bring water for me (3).MP4,bring water for me,i am hungry,False,4,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\take care of yourself\take care (5).MP4,take care of yourself,how are you,False,4,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\what do you do\what do you do (4).MP4,what do you do,how are you,False,4,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\what do you think\what do you think (8).mp4,what do you think,why are you angry,False,4,4
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\it does not make any difference to me\it does not make any difference to me (2).mp4,it does not make any difference to me,how are you,False,8,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\serve the food\serve (2).MP4,serve the food,how are you,False,3,3
train,"data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\you do anything, i do not care\dont care (2).MP4","you do anything, i do not care",i am not not not do me,False,7,7
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\you are welcome\welcome (4).MP4,you are welcome,you are good,False,3,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\where are you from\where are you from (6).mp4,where are you from,how are you,False,4,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\can i help you\help.MP4,can i help you,i am help you,False,4,4
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\i do not agree\agree (5).MP4,i do not agree,i am not hurt it,False,4,5
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\you are bad\bad (4).MP4,you are bad,why are you angry,False,3,4
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\are you hiding something\MVI_6958.MP4,are you hiding something,what are you hiding something,False,4,5
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\i got hurt\i got hurt (2).mp4,i got hurt,i am crying,False,3,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\i do not like it\hate (3).MP4,i do not like it,how are you,False,5,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not take it to the heart\heart.MP4,do not take it to the heart,what are you angry,False,7,4
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\wear the shirt\shirt.MP4,wear the shirt,i am happy,False,3,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\he would be coming today\today (5).MP4,he would be coming today,how are you,False,5,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\i am fine. thank you sir\fine thank (3).MP4,i am fine. thank you sir,congratulations,False,6,1
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\hi how are you\hi how are you (6).MP4,hi how are you,how are you,False,4,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\what did you tell him\what did you tell him (2).mp4,what did you tell him,why are you angry,False,5,4
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\you are welcome\welcome (3).MP4,you are welcome,congratulations,False,3,1
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\it does not make any difference to me\difference.MP4,it does not make any difference to me,how are you,False,8,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\do me a favour\favour.MP4,do me a favour,i am happy,False,4,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\what you want\what you want (1).MP4,what you want,how are you,False,3,3
train,"data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\you need a medicine, take this one\medicine (3).MP4","you need a medicine, take this one",how are you,False,7,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\i am in dilemma what to do\i am in dilemma what to do.mp4,i am in dilemma what to do,i am not not not need it,False,7,7
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\which collegeschool are you from\college school (2).MP4,which collegeschool are you from,what are you do,False,5,4
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\do you need something\need something (2).MP4,do you need something,what are you need you room,False,4,6
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\go and sleep\sleep (5).MP4,go and sleep,go sleep,False,3,2
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\why are you crying\crying (3).MP4,why are you crying,why are you crying,True,4,4
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\when will the train leave\leave (4).MP4,when will the train leave,how are you,False,5,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\do me a favour\favour (5).MP4,do me a favour,how are you,False,4,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\how dare you\dare.MP4,how dare you,how are you,False,3,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\why are you angry\angry (3).MP4,why are you angry,why are you angry,True,4,4
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\i enjoyed a lot\enjoy (2).MP4,i enjoyed a lot,i am enjoying it,False,4,4
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\how can i trust you\how can i trust you (2).mp4,how can i trust you,how are you,False,5,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\what do you do\what do you do (1).MP4,what do you do,what are you want,False,4,4
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\how can i trust you\trust (5).MP4,how can i trust you,how can you,False,5,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\do me a favour\favour (3).MP4,do me a favour,i am good,False,4,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\can i help you\cannot help.MP4,can i help you,i am nice with you,False,4,5
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\my name is xxxxxxxx\my name is xxxxxxxx (7).mp4,my name is xxxxxxxx,what are you name,False,4,4
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\we are all with you\all.MP4,we are all with you,we are all of you,False,5,5
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not be stubborn\stubborn (2).MP4,do not be stubborn,do not stubborn,False,4,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\i do not like it\hate (4).MP4,i do not like it,i am angry,False,5,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\congratulations\congratulations (2).mp4,congratulations,congratulations,True,1,1
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\i like you i love you\MVI_6814.MP4,i like you i love you,i am good,False,6,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\how old are you\how old are you (4).MP4,how old are you,i am happy,False,4,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\i can not help you there\MVI_6725.MP4,i can not help you there,how are you,False,6,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\he she is my friend\heshe is my friend.mp4,he she is my friend,i am not hurt him,False,5,5
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\go and sleep\sleep (2).MP4,go and sleep,why are you angry,False,3,4
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\had your food\food (2).MP4,had your food,what are you sorry,False,3,4
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\i am suffering from fever\fever (5).MP4,i am suffering from fever,i am feeling feeling it,False,5,5
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\what happened\happened (3).MP4,what happened,how are you,False,2,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\how can i help you\how can i help you (6).MP4,how can i help you,how can help you,False,5,4
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\i do not agree\agree (4).MP4,i do not agree,what are you agree,False,4,4
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\which collegeschool are you from\school college.MP4,which collegeschool are you from,i am bored,False,5,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\i enjoyed a lot\i enjoyed a lot.mp4,i enjoyed a lot,i am bored,False,4,3
